Column Name,Data Type,Description
collection_id,bigint,id from the kingfisher collection table
release_type,text,"Either release, compiled_release or record. compiled_release are releases generated by kingfisher release compilation"
path,text,JSON path of the feild
object_property,bigint,The total number of times the field at this path appears
array_count,bigint,"For arrays, the total number of items in this array across all releases"
distinct_releases,bigint,The total number of distinct releases in which the field at this path appears
